,chunk_size,overlap,faithfulness,relevancy,context_usage,time
0,1280,128,8.66,7.84,8.79,3.23449540712998
1,1280,64,8.79,8.36,8.9,3.548213108990021
2,1280,32,8.95,8.19,9.19,3.2153183702500248
3,1280,0,8.72,7.89,8.76,3.4935373319599967
4,1024,128,8.68,8.02,8.88,2.772824344170003
5,1024,64,8.6,8.32,8.99,2.85052358732999
6,1024,32,8.76,8.16,9.09,2.6116637292800444
7,1024,0,8.71,8.34,9.08,2.6611952781999935
8,512,128,8.53,8.16,9.04,2.002755400479982
9,512,64,8.73,8.29,9.04,1.9024132655000359
10,512,32,8.94,8.11,9.05,1.8362735765199614
11,512,0,8.68,8.12,9.09,1.7943940006000048
12,256,64,8.84,8.01,9.05,1.3764925040700473
13,256,32,8.9,7.93,8.67,1.4560415131799527
14,256,0,8.87,7.98,8.89,1.41903437150002
15,64,32,8.64,7.28,8.7,1.2413628223100386
16,64,0,8.74,7.41,8.42,1.0695834510900022
